Area,Item,Element,Unit,Amount
Afghanistan,Pre- and post- production,Emissions (N2O),kilotonnes,0.7446
Afghanistan,Pre- and post- production,Emissions (CO2),kilotonnes,901.0555
Afghanistan,Pre- and post- production,Emissions (CO2eq) from CH4 (AR5),kilotonnes,3427.1343
Afghanistan,Pre- and post- production,Emissions (CO2eq) from N2O (AR5),kilotonnes,197.3181
Afghanistan,Pre- and post- production,Emissions (CO2eq) (AR5),kilotonnes,4525.5079
Afghanistan,Agri-food systems,Emissions (CH4),kilotonnes,549.6278
Afghanistan,Agri-food systems,Emissions (N2O),kilotonnes,15.7673
Afghanistan,Agri-food systems,Emissions (CO2),kilotonnes,1018.1354
Afghanistan,Agri-food systems,Emissions (CO2eq) from CH4 (AR5),kilotonnes,15389.5781
Afghanistan,Agri-food systems,Emissions (CO2eq) from N2O (AR5),kilotonnes,4178.3466
Afghanistan,Agri-food systems,Emissions (CO2eq) (AR5),kilotonnes,20586.06
Afghanistan,IPCC Agriculture,Emissions (CH4),kilotonnes,427.1644
Afghanistan,IPCC Agriculture,Direct emissions (N2O),kilotonnes,10.8548
Afghanistan,IPCC Agriculture,Indirect emissions (N2O),kilotonnes,3.6191
Afghanistan,IPCC Agriculture,Emissions (N2O),kilotonnes,14.9865
Afghanistan,IPCC Agriculture,Emissions (CO2eq) from CH4 (AR5),kilotonnes,11960.6042
Afghanistan,IPCC Agriculture,Emissions (CO2eq) from N2O (AR5),kilotonnes,3971.4287
Afghanistan,IPCC Agriculture,Emissions (CO2eq) (AR5),kilotonnes,15932.0329
Afghanistan,Agricultural Soils,Direct emissions (N2O),kilotonnes,10.8548
Afghanistan,Agricultural Soils,Indirect emissions (N2O),kilotonnes,3.6191
Afghanistan,Agricultural Soils,Emissions (N2O),kilotonnes,14.474
Afghanistan,Agricultural Soils,Emissions (CO2eq) from N2O (AR5),kilotonnes,3835.6006
Afghanistan,Agricultural Soils,Emissions (CO2eq) (AR5),kilotonnes,3835.6006
Afghanistan,LULUCF,Emissions (CH4),kilotonnes,0
Afghanistan,LULUCF,Emissions (N2O),kilotonnes,0
Afghanistan,LULUCF,Emissions (CO2),kilotonnes,154.6574
Afghanistan,LULUCF,Emissions (CO2eq) from CH4 (AR5),kilotonnes,0
Afghanistan,LULUCF,Emissions (CO2eq) from N2O (AR5),kilotonnes,0
Afghanistan,LULUCF,Emissions (CO2eq) (AR5),kilotonnes,154.6574
Afghanistan,AFOLU,Emissions (CH4),kilotonnes,427.1644
Afghanistan,AFOLU,Emissions (N2O),kilotonnes,14.9865
Afghanistan,AFOLU,Emissions (CO2),kilotonnes,154.6574
Afghanistan,AFOLU,Emissions (CO2eq) from CH4 (AR5),kilotonnes,11960.6042
Afghanistan,AFOLU,Emissions (CO2eq) from N2O (AR5),kilotonnes,3971.4287
Afghanistan,AFOLU,Emissions (CO2eq) (AR5),kilotonnes,16086.6903
Afghanistan,All sectors with LULUCF,Emissions (CH4),kilotonnes,662.7644
Afghanistan,All sectors with LULUCF,Emissions (N2O),kilotonnes,16.735
Afghanistan,All sectors with LULUCF,Emissions (CO2),kilotonnes,9592.6574
Afghanistan,All sectors with LULUCF,Emissions (CO2eq) from CH4 (AR5),kilotonnes,18557.4042
Afghanistan,All sectors with LULUCF,Emissions (CO2eq) from N2O (AR5),kilotonnes,4434.7812
Afghanistan,All sectors with LULUCF,Emissions (CO2eq) (AR5),kilotonnes,32584.8428
